+1,0,+1,b,_,a,
-1,-1,0,a,b,_,U L U'
-1,-1,0,b,a,_,U2 B' U2
-1,0,-1,a,_,b,U2 B' L' D' L B2  U2
-1,0,-1,b,_,a,U2 B2 U2
-1,0,+1,a,_,b,B2 D2 F' R' D' R F2
-1,0,+1,b,_,a,B2 D2 F2
-1,+1,0,a,b,_,U' R' U
-1,+1,0,b,a,_,U2 B U2
0,-1,-1,_,a,b,D F' R' D' R F2
0,-1,-1,_,b,a,D F2
0,-1,+1,_,a,b,L F
0,-1,+1,_,b,a,L U L' U'
0,+1,-1,_,a,b,D' F' R' D' R F2
0,+1,-1,_,b,a,D' F2
0,+1,+1,_,a,b,R' F'
0,+1,+1,_,b,a,R' U' R U
+1,-1,0,a,b,_,U L' U'
+1,-1,0,b,a,_,F
+1,0,-1,a,_,b,F' R' D' R F2
+1,0,-1,b,_,a,F2
+1,0,+1,a,_,b,F U' R U
+1,0,+1,b,_,a,
+1,+1,0,a,b,_,U' R U
+1,+1,0,b,a,_,F'
